Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Present
Michael Jones,3,Late
William Brown,4,Absent
Susan Williams,5,Late
David Miller,6,Excused
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Present
James Williams,11,Late
Michael Brown,12,Absent
Patricia Johnson,13,Excused
William Smith,14,Absent
Elizabeth Taylor,15,Excused
Daniel Williams,16,Present
Joseph Brown,17,Present
Linda Johnson,18,Late
Anthony Smith,19,Excused
Barbara Taylor,20,Absent
Steven Williams,21,Present
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Absent
Jennifer Taylor,25,Present
Andrew Williams,26,Present
Brian Brown,27,Present
Kevin Johnson,28,Absent
David Smith,29,Present
Melissa Taylor,30,Excused
