Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Absent
Michael Jones,3,Present
William Brown,4,Absent
Susan Williams,5,Excused
David Miller,6,Late
Mary Johnson,7,Late
Robert Smith,8,Late
Charles Taylor,9,Late
Sarah Jones,10,Absent
James Williams,11,Present
Michael Brown,12,Excused
Patricia Johnson,13,Absent
William Smith,14,Present
Elizabeth Taylor,15,Excused
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Late
Anthony Smith,19,Excused
Barbara Taylor,20,Absent
Steven Williams,21,Late
Edward Brown,22,Late
Christopher Johnson,23,Absent
Matthew Smith,24,Absent
Jennifer Taylor,25,Late
Andrew Williams,26,Late
Brian Brown,27,Excused
Kevin Johnson,28,Absent
David Smith,29,Excused
Melissa Taylor,30,Absent
