Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Late
Patricia Johnson,13,Absent
William Smith,14,Present
Elizabeth Taylor,15,Excused
Daniel Williams,16,Late
Joseph Brown,17,Late
Linda Johnson,18,Late
Anthony Smith,19,Late
Barbara Taylor,20,Excused
Steven Williams,21,Present
Edward Brown,22,Present
Christopher Johnson,23,Late
Matthew Smith,24,Present
Jennifer Taylor,25,Excused
Andrew Williams,26,Excused
Brian Brown,27,Present
Kevin Johnson,28,Absent
David Smith,29,Excused
Melissa Taylor,30,Absent
