Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Absent
Michael Jones,3,Excused
William Brown,4,Late
Susan Williams,5,Present
David Miller,6,Absent
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Excused
Sarah Jones,10,Late
James Williams,11,Late
Michael Brown,12,Excused
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Late
Daniel Williams,16,Excused
Joseph Brown,17,Absent
Linda Johnson,18,Present
Anthony Smith,19,Excused
Barbara Taylor,20,Late
Steven Williams,21,Absent
Edward Brown,22,Late
Christopher Johnson,23,Late
Matthew Smith,24,Excused
Jennifer Taylor,25,Present
Andrew Williams,26,Late
Brian Brown,27,Excused
Kevin Johnson,28,Absent
David Smith,29,Late
Melissa Taylor,30,Absent
