Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Excused
William Brown,4,Late
Susan Williams,5,Absent
David Miller,6,Late
Mary Johnson,7,Present
Robert Smith,8,Excused
Charles Taylor,9,Present
Sarah Jones,10,Late
James Williams,11,Excused
Michael Brown,12,Present
Patricia Johnson,13,Late
William Smith,14,Absent
Elizabeth Taylor,15,Late
Daniel Williams,16,Late
Joseph Brown,17,Present
Linda Johnson,18,Present
Anthony Smith,19,Absent
Barbara Taylor,20,Present
Steven Williams,21,Late
Edward Brown,22,Late
Christopher Johnson,23,Late
Matthew Smith,24,Absent
Jennifer Taylor,25,Excused
Andrew Williams,26,Late
Brian Brown,27,Late
Kevin Johnson,28,Absent
David Smith,29,Excused
Melissa Taylor,30,Present
