Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Absent
Michael Jones,3,Absent
William Brown,4,Absent
Susan Williams,5,Absent
David Miller,6,Present
Mary Johnson,7,Late
Robert Smith,8,Late
Charles Taylor,9,Late
Sarah Jones,10,Present
James Williams,11,Late
Michael Brown,12,Late
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Absent
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Excused
Steven Williams,21,Late
Edward Brown,22,Late
Christopher Johnson,23,Absent
Matthew Smith,24,Late
Jennifer Taylor,25,Present
Andrew Williams,26,Absent
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Late
Melissa Taylor,30,Excused
