Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Excused
William Brown,4,Absent
Susan Williams,5,Absent
David Miller,6,Excused
Mary Johnson,7,Present
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Late
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Excused
William Smith,14,Absent
Elizabeth Taylor,15,Absent
Daniel Williams,16,Excused
Joseph Brown,17,Late
Linda Johnson,18,Late
Anthony Smith,19,Present
Barbara Taylor,20,Excused
Steven Williams,21,Excused
Edward Brown,22,Excused
Christopher Johnson,23,Excused
Matthew Smith,24,Late
Jennifer Taylor,25,Present
Andrew Williams,26,Present
Brian Brown,27,Excused
Kevin Johnson,28,Late
David Smith,29,Excused
Melissa Taylor,30,Present
