Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Absent
Michael Jones,3,Present
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Present
Mary Johnson,7,Absent
Robert Smith,8,Absent
Charles Taylor,9,Absent
Sarah Jones,10,Excused
James Williams,11,Present
Michael Brown,12,Present
Patricia Johnson,13,Late
William Smith,14,Excused
Elizabeth Taylor,15,Present
Daniel Williams,16,Present
Joseph Brown,17,Late
Linda Johnson,18,Late
Anthony Smith,19,Late
Barbara Taylor,20,Absent
Steven Williams,21,Absent
Edward Brown,22,Present
Christopher Johnson,23,Absent
Matthew Smith,24,Excused
Jennifer Taylor,25,Present
Andrew Williams,26,Excused
Brian Brown,27,Present
Kevin Johnson,28,Late
David Smith,29,Excused
Melissa Taylor,30,Absent
