Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Excused
Michael Jones,3,Late
William Brown,4,Absent
Susan Williams,5,Absent
David Miller,6,Present
Mary Johnson,7,Late
Robert Smith,8,Absent
Charles Taylor,9,Absent
Sarah Jones,10,Late
James Williams,11,Present
Michael Brown,12,Absent
Patricia Johnson,13,Late
William Smith,14,Excused
Elizabeth Taylor,15,Late
Daniel Williams,16,Excused
Joseph Brown,17,Absent
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Absent
Steven Williams,21,Absent
Edward Brown,22,Absent
Christopher Johnson,23,Excused
Matthew Smith,24,Excused
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Excused
Melissa Taylor,30,Absent
