Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Present
Michael Jones,3,Absent
William Brown,4,Present
Susan Williams,5,Late
David Miller,6,Late
Mary Johnson,7,Present
Robert Smith,8,Absent
Charles Taylor,9,Absent
Sarah Jones,10,Absent
James Williams,11,Absent
Michael Brown,12,Excused
Patricia Johnson,13,Present
William Smith,14,Absent
Elizabeth Taylor,15,Excused
Daniel Williams,16,Present
Joseph Brown,17,Late
Linda Johnson,18,Late
Anthony Smith,19,Present
Barbara Taylor,20,Present
Steven Williams,21,Absent
Edward Brown,22,Absent
Christopher Johnson,23,Excused
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Late
Brian Brown,27,Present
Kevin Johnson,28,Late
David Smith,29,Late
Melissa Taylor,30,Absent
