Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Absent
Michael Jones,3,Present
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Excused
Mary Johnson,7,Present
Robert Smith,8,Present
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Absent
Elizabeth Taylor,15,Present
Daniel Williams,16,Late
Joseph Brown,17,Absent
Linda Johnson,18,Late
Anthony Smith,19,Excused
Barbara Taylor,20,Late
Steven Williams,21,Excused
Edward Brown,22,Present
Christopher Johnson,23,Excused
Matthew Smith,24,Late
Jennifer Taylor,25,Present
Andrew Williams,26,Excused
Brian Brown,27,Present
Kevin Johnson,28,Absent
David Smith,29,Late
Melissa Taylor,30,Absent
